Date,From,To,Narrative,Amount
01/01/2015,Laura B,Sarah T,Misc Morale,10.54
04/01/2015,Stephen S,Gergana I,Lunch,3.22
07/01/2015,Ben B,Jon A,Fantasy Football,9.93
11/01/2015,Ben B,Todd,Lunch,7.33
12/01/2015,Laura B,Ben B,Beers,8.94
15/01/2015,Todd,Rob S,Beers,10.19
16/01/2015,Laura B,Jon A,Lego Assistance,0.69
18/01/2015,Jon A,Sarah T,Coffee,10.73
22/01/2015,Gergana I,Todd,Coffee,0.8
24/01/2015,Gergana I,Chris W,Coffee,8.49
27/01/2015,Laura B,Tim L,Jenkins Fees,0.52
29/01/2015,Sam N,Chris W,Lunch,9.01
01/02/2015,Stephen S,Laura B,Coffee,7.53
02/02/2015,Stephen S,Rob S,Fantasy Football,7.43
04/02/2015,Rob S,Stephen S,Fantasy Football,5.78
06/02/2015,Dan W,Gergana I,Automated Testing Services,10.29
07/02/2015,Jon A,Chris W,Rails Consultancy,7.37
10/02/2015,Sam N,Gergana I,Sandbox Help,9.84
11/02/2015,Chris W,Stephen S,Misc Morale,0.68
13/02/2015,Laura B,Gergana I,Beers,6.56
16/02/2015,Chris W,Dan W,Jenkins Fees,1.28
17/02/2015,Sarah T,Dan W,Sandbox Help,11.48
18/02/2015,Stephen S,Rob S,Lego Assistance,4.83
21/02/2015,Dan W,Ben B,Pokemon Training,0.5
24/02/2015,Todd,Gergana I,Coffee,9.08
26/02/2015,Stephen S,Jon A,Pokemon Training,4.23
01/03/2015,Ben B,Sam N,Lunch,One Cheeseburger
02/03/2015,Todd,Chris W,Sandbox Help,1.92
04/03/2015,Laura B,Jon A,Sandcastle Help,9.09
06/03/2015,Stephen S,Gergana I,Lego Assistance,9.4
08/03/2015,Ben B,Sam N,Pokemon Training,11.32
11/03/2015,Stephen S,Jon A,Sandcastle Help,11.57
15/03/2015,Todd,Sam N,Pokemon Training,2.29
19/03/2015,Laura B,Chris W,Coffee,9.96
21/03/2015,Jon A,Gergana I,Beers,7.54
25/03/2015,Gergana I,Ben B,Automated Testing Services,2.39
28/03/2015,Stephen S,Tim L,Lunch,5.83
29/03/2015,Gergana I,Ben B,Audit and Other Financial Services,10.85
30/03/2015,Tim L,Todd,Pokemon Training,8.6
02/04/2015,Stephen S,Chris W,Pokemon Training,1.11
05/04/2015,Chris W,Ben B,Lunch,0.96
09/04/2015,Chris W,Rob S,Audit and Other Financial Services,11.79
12/04/2015,Gergana I,Laura B,Stationary Items,8.37
13/04/2015,Laura B,Tim L,Services Rendered,1.27
15/04/2015,Ben B,Sam N,Lego Assistance,8.5
19/04/2015,Stephen S,Chris W,White Water Rafting,8.91
23/04/2015,Tim L,Todd,Misc Morale,8.1
24/04/2015,Tim L,Sarah T,Arcade Social,6.38
26/04/2015,Jon A,Todd,Stationary Items,8.44
27/04/2015,Ben B,Jon A,Pokemon Training,10.91
Last Thursday,Sarah T,Dan W,Beers,5.422022-02-24 16:01:09.4046|INFO|SupportBank.FileReader|Loading line 01/01/2014,Jon A,Sarah T,Pokemon Training,7.8 from file C:\Training\11-SupportBank\Transactions2014.csv
